project	sample_id	sample_type	date_collected	time_point_h	cage_id	mouse_type	pretreatment	mouse_id	gender	gavage_dose_200ul	strain_bcs	strains	tube_type	tube_weight_empty	tube_weight_full	stool_weight_mg	cfu_g_stool	cfu_incubation_time	dna_conc_ng_ul	dna_conc_ng_ul
P4C2T4	s1	stool DNA	250401	5 h	cage1	germ_free	None	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1651.8	1693	41.2			-0.0404856	0.3988012
P4C2T4	s2	stool CFU	250401	5 h	cage1	germ_free	None	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1706.7	1735.7	29			#N/A	#N/A
P4C2T4	s3	stool DNA	250401	5 h	cage2	germ_free	None	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1653.4	1691.6	38.2			-0.0137498	0.44275724
P4C2T4	s4	stool CFU	250401	5 h	cage2	germ_free	None	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1693.2	1726	32.8			#N/A	#N/A
P4C2T4	s5	stool DNA	250401	5 h	cage3	germ_free	donor_BSD2780	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1697	1756.5	59.5			7.6321375	0.49370629
P4C2T4	s6	stool CFU	250401	5 h	cage3	germ_free	donor_BSD2780	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1736.6	1789.7	53.1			#N/A	#N/A
P4C2T4	s7	stool DNA	250401	5 h	cage4	germ_free	donor_BSD2780	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1678.8	1711	32.2			7.6670577	0.63356643
P4C2T4	s8	stool CFU	250401	5 h	cage4	germ_free	donor_BSD2780	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1721.2	1759.5	38.3			#N/A	#N/A
P4C2T4	s9	stool DNA	250401	5 h	cage5	SPF	antibiotic_vancomycin	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1656.9	1712.4	55.5			0.18704133	0.38181818
P4C2T4	s10	stool CFU	250401	5 h	cage5	SPF	antibiotic_vancomycin	mA	female	1000000	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1698	1750.5	52.5			#N/A	#N/A
